player_id,season,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,now_cost,selected_by_percent,transfers_in,transfers_out,first_name,second_name,web_name,element_type,team_id,code,name,short_name,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,points_last_gw,points_last_3_gws
2,2025/26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
2,2025/26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,41,0.4,97,180,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,109745,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
3,2025/26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,40,0.2,0,46,Karl,Hein,Hein,1,1,463748,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
4,2025/26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,0.3,339,279,Tommy,Setford,Setford,1,1,551221,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
